dimension,value,round1_gap,rounds_fedper,rounds_adaptive,speedup
local_epochs,1,0.046214826071918846,4,1,4.0
local_epochs,2,0.03367649662603256,3,1,3.0
local_epochs,3,0.0197471715912495,2,1,2.0
local_epochs,5,0.006130848717055604,1,1,1.0
lr,0.01,0.3066048234163644,13,3,4.333333333333333
lr,0.02,0.14732624636449343,7,2,3.5
lr,0.03,0.08941639495468956,6,1,6.0
lr,0.05,0.046214826071918846,4,1,4.0
client_fraction,1.0,0.046214826071918846,4,1,4.0
client_fraction,0.7,0.019032150591370978,6,5,1.2
client_fraction,0.5,0.021239890407327877,8,4,2.0
client_fraction,0.3,0.015321927532843338,12,7,1.7142857142857142
