round,cid,loss,accuracy,f1,adaptive_epochs,selected
1,S10,0.037881675180755206,1.0,1.0,0,True
1,S11,0.15877939898406687,0.9891304347826086,0.9846153846153847,0,True
1,S13,0.06769555257289687,0.989010989010989,0.9850746268656716,0,True
1,S14,0.06039483548275755,1.0,1.0,0,True
1,S15,0.04152799941749212,1.0,1.0,0,True
1,S16,0.07410604390630528,1.0,1.0,0,True
1,S17,0.05573567523826981,1.0,1.0,0,True
1,S2,0.7984557042575267,0.6206896551724138,0.44067796610169496,0,True
1,S3,0.3465889751087173,0.8181818181818182,0.7333333333333333,0,True
1,S4,0.058730605083751504,0.9886363636363636,0.9846153846153847,0,True
1,S5,0.16029958525646973,0.967032967032967,0.9538461538461539,0,True
1,S6,0.12991812208827788,0.9666666666666667,0.9538461538461539,0,True
1,S7,0.040011227984546927,1.0,1.0,0,True
1,S8,0.6429884143769726,0.6923076923076923,0.4615384615384615,0,True
1,S9,0.07579209147652534,1.0,1.0,0,True
2,S10,0.015554640418657267,1.0,1.0,0,True
2,S11,0.11040751137462267,0.9891304347826086,0.9846153846153847,0,True
2,S13,0.036717693463800036,0.989010989010989,0.9850746268656716,0,True
2,S14,0.027723630696293883,1.0,1.0,0,True
2,S15,0.016114637025627362,1.0,1.0,0,True
2,S16,0.037287031496384807,1.0,1.0,0,True
2,S17,0.024282936265423653,1.0,1.0,0,True
2,S2,0.964265409848139,0.6091954022988506,0.43333333333333335,0,True
2,S3,0.38228100298942363,0.8181818181818182,0.7333333333333333,0,True
2,S4,0.03450656574039167,0.9886363636363636,0.9846153846153847,0,True
2,S5,0.10277506984118909,0.967032967032967,0.9538461538461539,0,True
2,S6,0.08509221055515627,0.9666666666666667,0.9538461538461539,0,True
2,S7,0.01658051451216299,1.0,1.0,0,True
2,S8,0.7616079865562287,0.6923076923076923,0.4615384615384615,0,True
2,S9,0.04039216176349463,1.0,1.0,0,True
3,S10,0.010213700266974615,1.0,1.0,0,True
3,S11,0.09093248861162494,1.0,1.0,0,True
3,S13,0.02819399516868445,0.989010989010989,0.9850746268656716,0,True
3,S14,0.019115235314793522,1.0,1.0,0,True
3,S15,0.010126925002538121,1.0,1.0,0,True
3,S16,0.026800941146182235,1.0,1.0,0,True
3,S17,0.01632640940750438,1.0,1.0,0,True
3,S2,1.0621062919740851,0.6091954022988506,0.43333333333333335,0,True
3,S3,0.40770173646577185,0.8181818181818182,0.7333333333333333,0,True
3,S4,0.028577258975723052,0.9886363636363636,0.9846153846153847,0,True
3,S5,0.08228326959238441,0.978021978021978,0.9696969696969697,0,True
3,S6,0.07322826350272114,0.9666666666666667,0.9538461538461539,0,True
3,S7,0.010805781178092408,1.0,1.0,0,True
3,S8,0.8315341321641357,0.6813186813186813,0.4528301886792452,0,True
3,S9,0.02987555890646359,1.0,1.0,0,True
4,S10,0.00803742062421117,1.0,1.0,0,True
4,S11,0.08026304568925302,1.0,1.0,0,True
4,S13,0.024419419857956814,0.989010989010989,0.9850746268656716,0,True
4,S14,0.015587817845669988,1.0,1.0,0,True
4,S15,0.007786329642964246,1.0,1.0,0,True
4,S16,0.022168665874440677,1.0,1.0,0,True
4,S17,0.01313091180286219,1.0,1.0,0,True
4,S2,1.1191403386151273,0.6091954022988506,0.43333333333333335,0,True
4,S3,0.42287495022635485,0.8181818181818182,0.7333333333333333,0,True
4,S4,0.026147746137891545,0.9886363636363636,0.9846153846153847,0,True
4,S5,0.07329031087357202,0.989010989010989,0.9850746268656716,0,True
4,S6,0.06810492076017689,0.9666666666666667,0.9538461538461539,0,True
4,S7,0.008387500032341637,1.0,1.0,0,True
4,S8,0.8655207399414209,0.6813186813186813,0.4528301886792452,0,True
4,S9,0.025092738925153377,1.0,1.0,0,True
5,S10,0.006983107235185206,1.0,1.0,0,True
5,S11,0.07326032014345497,1.0,1.0,0,True
5,S13,0.02254558502157827,0.989010989010989,0.9850746268656716,0,True
5,S14,0.013755206235200459,1.0,1.0,0,True
5,S15,0.006667086086106873,1.0,1.0,0,True
5,S16,0.019683754488887668,1.0,1.0,0,True
5,S17,0.01143711944796189,1.0,1.0,0,True
5,S2,1.157033944909925,0.6091954022988506,0.43333333333333335,0,True
5,S3,0.4315232848833342,0.8295454545454546,0.7540983606557377,0,True
5,S4,0.025123629906839116,0.9886363636363636,0.9846153846153847,0,True
5,S5,0.06878544919240233,0.989010989010989,0.9850746268656716,0,True
5,S6,0.06511976488668161,0.9666666666666667,0.9538461538461539,0,True
5,S7,0.007182308782418469,1.0,1.0,0,True
5,S8,0.883820237163535,0.6813186813186813,0.4528301886792452,0,True
5,S9,0.022499460404400616,1.0,1.0,0,True
6,S10,0.006339828300091263,1.0,1.0,0,True
6,S11,0.0685458286623693,1.0,1.0,0,True
6,S13,0.02117646054213278,0.989010989010989,0.9850746268656716,0,True
6,S14,0.012902078144623672,1.0,1.0,0,True
6,S15,0.0060807129524978855,1.0,1.0,0,True
6,S16,0.0181763502145059,1.0,1.0,0,True
6,S17,0.0107830509143519,1.0,1.0,0,True
6,S2,1.1728978132981753,0.6091954022988506,0.43333333333333335,0,True
6,S3,0.4361042342297502,0.8295454545454546,0.7540983606557377,0,True
6,S4,0.024267222977842194,0.9886363636363636,0.9846153846153847,0,True
6,S5,0.06708529517347539,0.989010989010989,0.9850746268656716,0,True
6,S6,0.06306342303250914,0.9666666666666667,0.9538461538461539,0,True
