round,cid,loss,accuracy,f1,adaptive_epochs,selected
1,S10,0.02043618868594314,1.0,1.0,7,True
1,S11,0.07140769309510694,1.0,1.0,8,True
1,S13,0.03470067647726832,1.0,1.0,8,True
1,S14,0.020744241720493876,1.0,1.0,7,True
1,S15,0.026607281499125356,1.0,1.0,8,True
1,S16,0.03438238739111068,1.0,1.0,8,True
1,S17,0.03073755726898459,1.0,1.0,8,True
1,S2,0.3801703250173495,0.9195402298850575,0.9090909090909091,8,True
1,S3,0.33301397115977077,0.8977272727272727,0.8656716417910447,3,True
1,S4,0.02738767220452679,1.0,1.0,8,True
1,S5,0.03004728101823003,1.0,1.0,7,True
1,S6,0.09834375237791144,0.9666666666666667,0.9538461538461539,8,True
1,S7,0.02268832642511914,1.0,1.0,8,True
1,S8,0.45661594375967984,0.9010989010989011,0.8235294117647057,4,True
1,S9,0.026444624399450233,1.0,1.0,8,True
2,S10,0.009937725559121601,1.0,1.0,1,True
2,S11,0.043698344248801486,1.0,1.0,1,True
2,S13,0.02106842050033901,1.0,1.0,1,True
2,S14,0.010437907074285602,1.0,1.0,1,True
2,S15,0.01305664520670867,1.0,1.0,1,True
2,S16,0.019776539243712088,1.0,1.0,1,True
2,S17,0.01770442209967801,1.0,1.0,1,True
2,S2,0.35278106065779685,0.9310344827586207,0.923076923076923,8,True
2,S3,0.30105350154309174,0.8863636363636364,0.8484848484848485,1,True
2,S4,0.017705142062400203,1.0,1.0,1,True
2,S5,0.012897287702739188,1.0,1.0,1,True
2,S6,0.08191256611199642,0.9666666666666667,0.9538461538461539,1,True
2,S7,0.010940942040806784,1.0,1.0,1,True
2,S8,0.37582882587854427,0.9120879120879121,0.8518518518518519,4,True
2,S9,0.017537661096014463,1.0,1.0,1,True
3,S10,0.006356689781452416,1.0,1.0,1,True
3,S11,0.0329002320102158,1.0,1.0,1,True
3,S13,0.015223674576598664,1.0,1.0,1,True
3,S14,0.006888673808054511,1.0,1.0,1,True
3,S15,0.008246264978916664,1.0,1.0,1,True
3,S16,0.013543596284493557,1.0,1.0,1,True
3,S17,0.012110323438986631,1.0,1.0,1,True
3,S2,0.3351735546861864,0.9310344827586207,0.923076923076923,8,True
3,S3,0.29190959253219617,0.8863636363636364,0.8484848484848485,1,True
3,S4,0.01315984280691742,1.0,1.0,1,True
3,S5,0.007670847803458566,1.0,1.0,1,True
3,S6,0.06942442420044934,0.9666666666666667,0.9538461538461539,1,True
3,S7,0.006962935611700259,1.0,1.0,1,True
3,S8,0.36868080127908553,0.9340659340659341,0.88,4,True
3,S9,0.013215383598242184,1.0,1.0,1,True
4,S10,0.00454986843197993,1.0,1.0,1,True
4,S11,0.026895853213426184,1.0,1.0,1,True
4,S13,0.011847183798002111,1.0,1.0,1,True
4,S14,0.005134150549138613,1.0,1.0,1,True
4,S15,0.005905256725150756,1.0,1.0,1,True
4,S16,0.010205246291350297,1.0,1.0,1,True
4,S17,0.009268786180158542,1.0,1.0,1,True
4,S2,0.3179246889515258,0.9310344827586207,0.923076923076923,8,True
4,S3,0.28415586642807134,0.9090909090909091,0.8787878787878789,1,True
4,S4,0.01049720591498053,1.0,1.0,1,True
4,S5,0.005205413556498104,1.0,1.0,1,True
4,S6,0.0599407768316465,0.9666666666666667,0.9538461538461539,1,True
4,S7,0.005035084243416335,1.0,1.0,1,True
4,S8,0.3608676493030043,0.9120879120879121,0.8333333333333333,4,True
4,S9,0.010677219779134852,1.0,1.0,1,True
5,S10,0.00347802380440372,1.0,1.0,1,True
5,S11,0.022764123170274788,1.0,1.0,1,True
5,S13,0.0096641443892536,1.0,1.0,1,True
5,S14,0.004131925232883507,1.0,1.0,1,True
5,S15,0.004554044093436364,1.0,1.0,1,True
5,S16,0.008171263524186642,1.0,1.0,1,True
5,S17,0.007618677135859446,1.0,1.0,1,True
5,S2,0.29978900950487236,0.9310344827586207,0.923076923076923,8,True
5,S3,0.2776202490339626,0.9204545454545454,0.8955223880597014,1,True
5,S4,0.008733314080483253,1.0,1.0,1,True
5,S5,0.0038132420885928367,1.0,1.0,1,True
5,S6,0.05224340828656739,0.9666666666666667,0.9538461538461539,1,True
5,S7,0.0039212100661898276,1.0,1.0,1,True
5,S8,0.34009796376250107,0.9120879120879121,0.8333333333333333,4,True
5,S9,0.008997824271748549,1.0,1.0,1,True
6,S10,0.002795980247079328,1.0,1.0,1,True
6,S11,0.019590595739902638,1.0,1.0,1,True
6,S13,0.008171933845716762,1.0,1.0,1,True
6,S14,0.0034730919667983547,1.0,1.0,1,True
6,S15,0.003661715843350749,1.0,1.0,1,True
6,S16,0.006816498270838043,1.0,1.0,1,True
6,S17,0.006431763551886891,1.0,1.0,1,True
6,S2,0.2874453649163939,0.9310344827586207,0.923076923076923,8,True
6,S3,0.2727562378821684,0.9204545454545454,0.8955223880597014,1,True
6,S4,0.007476447363996686,1.0,1.0,1,True
6,S5,0.0029264606398422227,1.0,1.0,1,True
6,S6,0.04583651580411223,0.9777777777777777,0.96875,1,True
6,S7,0.0031795969180022864,1.0,1.0,1,True
6,S8,0.3237997502430809,0.9230769230769231,0.8571428571428571,4,True
6,S9,0.007775700861367494,1.0,1.0,1,True
7,S10,0.0023252421198565014,1.0,1.0,1,True
7,S11,0.017171652090228324,1.0,1.0,1,True
7,S13,0.007105558543119139,1.0,1.0,1,True
7,S14,0.0029964181883254176,1.0,1.0,1,True
7,S15,0.0030245577859748856,1.0,1.0,1,True
7,S16,0.0058293185790107005,1.0,1.0,1,True
7,S17,0.005512043284799895,1.0,1.0,1,True
7,S2,0.2757967510594806,0.9310344827586207,0.923076923076923,8,True
7,S3,0.26970301085326015,0.9204545454545454,0.8955223880597014,1,True
7,S4,0.0065379744992098456,1.0,1.0,1,True
7,S5,0.002317041973584801,1.0,1.0,1,True
7,S6,0.040959032557339674,0.9777777777777777,0.96875,1,True
7,S7,0.0026498155521288676,1.0,1.0,1,True
7,S8,0.31532150602875514,0.9230769230769231,0.8571428571428571,4,True
7,S9,0.006830541424787906,1.0,1.0,1,True
8,S10,0.0019832789985833586,1.0,1.0,1,True
8,S11,0.01534914628788184,1.0,1.0,1,True
8,S13,0.006263525378117326,1.0,1.0,1,True
8,S14,0.0026326099310773864,1.0,1.0,1,True
8,S15,0.002556770986817576,1.0,1.0,1,True
8,S16,0.005099515496950935,1.0,1.0,1,True
8,S17,0.004825845215350309,1.0,1.0,1,True
8,S2,0.26926641460963124,0.9310344827586207,0.923076923076923,8,True
8,S3,0.2681600952922745,0.9204545454545454,0.8955223880597014,1,True
8,S4,0.005790370906776776,1.0,1.0,1,True
8,S5,0.0019023032588920137,1.0,1.0,1,True
8,S6,0.03653470959689985,0.9777777777777777,0.96875,1,True
8,S7,0.0022529440974186467,1.0,1.0,1,True
8,S8,0.30062010596450406,0.9230769230769231,0.8571428571428571,4,True
8,S9,0.006087111908145622,1.0,1.0,1,True
9,S10,0.0017267585447260552,1.0,1.0,1,True
9,S11,0.01362863826308558,1.0,1.0,1,True
9,S13,0.005630897112427915,1.0,1.0,1,True
9,S14,0.002355438782780338,1.0,1.0,1,True
9,S15,0.002201845705212446,1.0,1.0,1,True
9,S16,0.004527782573654145,1.0,1.0,1,True
9,S17,0.004271091202129052,1.0,1.0,1,True
9,S2,0.22821904243828386,0.9310344827586207,0.923076923076923,2,True
9,S3,0.26779645630969867,0.9204545454545454,0.8955223880597014,1,True
9,S4,0.0052022922347075016,1.0,1.0,1,True
9,S5,0.001598171024898237,1.0,1.0,1,True
9,S6,0.033059755492293556,0.9777777777777777,0.96875,1,True
9,S7,0.001955583977057977,1.0,1.0,1,True
9,S8,0.29324430557544234,0.9230769230769231,0.8571428571428571,4,True
9,S9,0.005485497181512584,1.0,1.0,1,True
10,S10,0.0015266404482906178,1.0,1.0,1,True
10,S11,0.01257053225031386,1.0,1.0,1,True
10,S13,0.005115837571444129,1.0,1.0,1,True
10,S14,0.0021223299844394037,1.0,1.0,1,True
10,S15,0.0019281315565401647,1.0,1.0,1,True
10,S16,0.004078870204136219,1.0,1.0,1,True
10,S17,0.003839060427052732,1.0,1.0,1,True
10,S2,0.2093208404905207,0.9310344827586207,0.923076923076923,2,True
10,S3,0.2683942325819286,0.9204545454545454,0.8955223880597014,1,True
10,S4,0.004724642090523373,1.0,1.0,1,True
10,S5,0.0013720682055904055,1.0,1.0,1,True
10,S6,0.02996366022999327,0.9777777777777777,0.96875,1,True
10,S7,0.0017257839375463173,1.0,1.0,1,True
10,S8,0.2843735235123636,0.9120879120879121,0.84,4,True
10,S9,0.004990948371880308,1.0,1.0,1,True
11,S10,0.0013666813744700884,1.0,1.0,1,True
11,S11,0.011805754671608867,1.0,1.0,1,True
11,S13,0.004706120755364319,1.0,1.0,1,True
11,S14,0.001929511940203855,1.0,1.0,1,True
11,S15,0.0017079812174739257,1.0,1.0,1,True
11,S16,0.0037045206740170095,1.0,1.0,1,True
11,S17,0.0034774231485559717,1.0,1.0,1,True
11,S2,0.1961598618511698,0.9310344827586207,0.923076923076923,2,True
11,S3,0.2694969706580999,0.9204545454545454,0.8955223880597014,1,True
11,S4,0.004329686508035064,1.0,1.0,1,True
11,S5,0.0011906816741198759,1.0,1.0,1,True
11,S6,0.027334451032918518,0.9888888888888889,0.9841269841269841,1,True
11,S7,0.0015422647206040398,1.0,1.0,1,True
11,S8,0.2792680042324173,0.9120879120879121,0.84,4,True
11,S9,0.004571524206642189,1.0,1.0,1,True
12,S10,0.0012402502020126222,1.0,1.0,1,True
12,S11,0.011197475202547737,1.0,1.0,1,True
12,S13,0.004328497211483487,1.0,1.0,1,True
12,S14,0.0017682635048506118,1.0,1.0,1,True
12,S15,0.0015296574008470103,1.0,1.0,1,True
12,S16,0.003418996108645847,1.0,1.0,1,True
12,S17,0.003209804926341297,1.0,1.0,1,True
12,S2,0.18752067311311976,0.9310344827586207,0.923076923076923,2,True
12,S3,0.27104738275903206,0.9204545454545454,0.8955223880597014,1,True
12,S4,0.003985023103451926,1.0,1.0,1,True
12,S5,0.0010605051384992457,1.0,1.0,1,True
12,S6,0.024569766189114325,0.9888888888888889,0.9841269841269841,1,True
12,S7,0.001391809505162935,1.0,1.0,1,True
12,S8,0.26780598631803965,0.9120879120879121,0.84,4,True
12,S9,0.004222137818975039,1.0,1.0,1,True
13,S10,0.001134972860836152,1.0,1.0,1,True
13,S11,0.010749601792285008,1.0,1.0,1,True
13,S13,0.004050835210648261,1.0,1.0,1,True
13,S14,0.0016367924164276842,1.0,1.0,1,True
13,S15,0.0013810154905589199,1.0,1.0,1,True
13,S16,0.003152805828607872,1.0,1.0,1,True
13,S17,0.0029533904448926177,1.0,1.0,1,True
13,S2,0.17779091139999564,0.9310344827586207,0.923076923076923,2,True
13,S3,0.272740632309575,0.9204545454545454,0.8955223880597014,1,True
13,S4,0.0037064838335226437,1.0,1.0,1,True
13,S5,0.000941004656446109,1.0,1.0,1,True
13,S6,0.022725307460972462,0.9888888888888889,0.9841269841269841,1,True
13,S7,0.0012690657884767528,1.0,1.0,1,True
13,S8,0.26824934721533356,0.9230769230769231,0.8627450980392156,4,True
13,S9,0.003911852196319534,1.0,1.0,1,True
14,S10,0.0010479130123585455,1.0,1.0,1,True
14,S11,0.010385499421533965,1.0,1.0,1,True
14,S13,0.0037829513762280722,1.0,1.0,1,True
14,S14,0.001522411318722491,1.0,1.0,1,True
14,S15,0.0012572181082122365,1.0,1.0,1,True
14,S16,0.0029420337821284386,1.0,1.0,1,True
14,S17,0.002752793822524645,1.0,1.0,1,True
14,S2,0.17180953378808791,0.9310344827586207,0.923076923076923,2,True
14,S3,0.27471651706047084,0.9204545454545454,0.8955223880597014,1,True
14,S4,0.003453514825233071,1.0,1.0,1,True
14,S5,0.0008561067774073985,1.0,1.0,1,True
14,S6,0.020699533675617904,0.9888888888888889,0.9841269841269841,1,True
14,S7,0.001164427020097096,1.0,1.0,1,True
14,S8,0.2590906972239305,0.9230769230769231,0.8627450980392156,4,True
14,S9,0.0036438522495943616,1.0,1.0,1,True
15,S10,0.0009744358513896011,1.0,1.0,1,True
15,S11,0.010120557665253297,1.0,1.0,1,True
15,S13,0.0035693888128827604,1.0,1.0,1,True
15,S14,0.0014223425693888597,1.0,1.0,1,True
15,S15,0.001151161155519072,1.0,1.0,1,True
15,S16,0.0027506384663095345,1.0,1.0,1,True
15,S17,0.002566254782289982,1.0,1.0,1,True
15,S2,0.16488806998654407,0.9310344827586207,0.923076923076923,2,True
15,S3,0.2766165064887181,0.9204545454545454,0.8955223880597014,1,True
15,S4,0.0032399318555842906,1.0,1.0,1,True
15,S5,0.0007774946965455714,1.0,1.0,1,True
15,S6,0.019107809818873472,1.0,1.0,1,True
15,S7,0.0010760250788884671,1.0,1.0,1,True
15,S8,0.2558369434884453,0.9230769230769231,0.8627450980392156,4,True
15,S9,0.0034055824356688615,1.0,1.0,1,True
