dimension,value,round1_gap,rounds_fedper,rounds_adaptive,speedup
local_epochs,1,0.03134771263308067,1,1,1.0
local_epochs,2,0.01493041678549989,1,1,1.0
local_epochs,3,0.00889420523204687,1,1,1.0
local_epochs,5,0.004490283871603884,1,1,1.0
lr,0.01,0.17027744158306546,4,1,4.0
lr,0.02,0.0831616790743076,2,1,2.0
lr,0.03,0.047642021940404455,2,1,2.0
lr,0.05,0.03134771263308067,1,1,1.0
client_fraction,1.0,0.03134771263308067,1,1,1.0
client_fraction,0.7,0.016338462623830652,4,2,2.0
client_fraction,0.5,0.006578696597197897,4,4,1.0
client_fraction,0.3,0.0014492753623188692,7,7,1.0
